BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Netto_Sozialhilfe_je_Einwohner
4446;Sommeri;2015;107
4864;Steckborn;2015;176
4606;Stettfurt;2015;20
4506;Sulgen;2015;170
4611;Thundorf;2015;31
4776;Tobel-Tägerschen;2015;2
4696;Tägerwilen;2015;-9
4616;Uesslingen-Buch;2015;27
4451;Uttwil;2015;151
4871;Wagenhausen;2015;154
4621;Warth-Weiningen;2015;64
4946;Weinfelden;2015;47
4951;Wigoltingen;2015;137
4786;Wilen;2015;55
4791;Wuppenau;2015;86
4701;Wäldi;2015;25
4781;Wängi;2015;149
4511;Zihlschlacht-Sitterdorf;2015;59
4551;Aadorf;2016;89
4711;Affeltrangen;2016;254
4641;Altnau;2016;254
4881;Amlikon-Bissegg;2016;49
4461;Amriswil;2016;200
4401;Arbon;2016;438
4536;Basadingen-Schlattingen;2016;198
4891;Berg;2016;40
4801;Berlingen;2016;37
4716;Bettwiesen;2016;171
4721;Bichelsee-Balterswil;2016;83
4901;Birwinken;2016;-14
4471;Bischofszell;2016;81
4643;Bottighofen;2016;68
4723;Braunau;2016;82
4921;Bussnang;2016;92
4911;Bürglen;2016;126
4545;Diessenhofen;2016;137
4406;Dozwil;2016;16
4411;Egnach;2016;105
4476;Erlen;2016;87
4646;Ermatingen;2016;145
4806;Eschenz;2016;50
4724;Eschlikon;2016;49
4561;Felben-Wellhausen;2016;133
4726;Fischingen;2016;118
4566;Frauenfeld;2016;234
4571;Gachnang;2016;120
4651;Gottlieben;2016;132
4656;Güttingen;2016;167
4486;Hauptwil-Gottshaus;2016;0
4416;Hefenhofen;2016;206
4811;Herdern;2016;18
4495;Hohentannen;2016;36
4816;Homburg;2016;17
4421;Horn;2016;52
4590;Hüttlingen;2016;92
4821;Hüttwilen;2016;1
4666;Kemmental;2016;51
4426;Kesswil;2016;81
4501;Kradolf-Schönenberg;2016;130
4671;Kreuzlingen;2016;297
4681;Langrickenbach;2016;285
4683;Lengwil;2016;101
4741;Lommis;2016;16
4826;Mammern;2016;1
4591;Matzingen;2016;117
4941;Märstetten;2016;96
4831;Müllheim;2016;98
4746;Münchwilen;2016;103
4691;Münsterlingen;2016;27
4601;Neunforn;2016;-70
4841;Pfyn;2016;28
4846;Raperswilen;2016;97
4751;Rickenbach;2016;138
4431;Roggwil;2016;13
4436;Romanshorn;2016;145
4851;Salenstein;2016;197
4441;Salmsach;2016;121
4546;Schlatt;2016;177
4756;Schönholzerswilen;2016;57
4761;Sirnach;2016;80
4446;Sommeri;2016;72
4864;Steckborn;2016;111
4606;Stettfurt;2016;37
4506;Sulgen;2016;83
4611;Thundorf;2016;1
4776;Tobel-Tägerschen;2016;-4
4696;Tägerwilen;2016;56
4616;Uesslingen-Buch;2016;-4
4451;Uttwil;2016;109
4871;Wagenhausen;2016;89
4621;Warth-Weiningen;2016;34
4946;Weinfelden;2016;98
4951;Wigoltingen;2016;95
4786;Wilen;2016;66
4791;Wuppenau;2016;95
4701;Wäldi;2016;25
4781;Wängi;2016;63
4511;Zihlschlacht-Sitterdorf;2016;99
