Gemeinde,BFS_NR_GEMEINDE,0-19,20-39,40-64,65-79,80+,Statistikjahr
Wängi,4781,25.1,24.5,36.7,10,3.7,2008
Warth-Weiningen,4621,19.5,21.4,43.2,12.7,3.2,2008
Weinfelden,4946,20.7,28.5,32.6,12.7,5.6,2008
Wigoltingen,4951,22.8,23.9,39.3,10.3,3.7,2008
Wilen,4786,29.1,23.1,35.5,9.4,2.9,2008
Wuppenau,4791,27.8,22.7,35.7,11.2,2.6,2008
Zihlschlacht-Sitterdorf,4511,26.3,25.2,35.5,9.3,3.6,2008
Aadorf,4551,22.8,25,38.2,10.6,3.4,2009
Affeltrangen,4711,24.8,25.5,37.3,9.2,3.1,2009
Altnau,4641,24.9,22.2,40.1,10.2,2.5,2009
Amlikon-Bissegg,4881,26.5,22,38.3,9.3,3.9,2009
Amriswil,4461,23.1,27.1,33.9,11,4.9,2009
Arbon,4401,20.2,26,35,13.2,5.6,2009
Basadingen-Schlattingen,4536,23.8,21.8,40.2,10.4,3.8,2009
Berg,4891,26.3,23,36.8,10,3.9,2009
Berlingen,4801,15.3,21.6,43.3,14.9,5,2009
Bettwiesen,4716,23.2,26.2,39.1,7.9,3.6,2009
Bichelsee-Balterswil,4721,23.7,23.2,38.9,10.5,3.8,2009
Birwinken,4901,27.8,20.7,37,10,4.6,2009
Bischofszell,4471,22.5,26.2,34.6,11.5,5.2,2009
Bottighofen,4643,17.4,22.3,42.8,13.9,3.6,2009
Braunau,4723,29.4,23.6,35.2,9.5,2.4,2009
Bürglen,4911,21.7,28,36.8,9.6,4,2009
Bussnang,4921,26,25,35.2,9.2,4.6,2009
Diessenhofen,4545,20.5,26.9,36.4,12.8,3.4,2009
Dozwil,4406,27.1,22.5,32.6,12.3,5.4,2009
Egnach,4411,25.4,24.5,36.1,10.3,3.8,2009
Erlen,4476,24.6,25.5,37.4,9.4,3.2,2009
Ermatingen,4646,19.8,22.3,39.1,13.3,5.4,2009
Eschenz,4806,22,23.7,37.9,12.6,3.8,2009
Eschlikon,4724,23.7,25.1,37.6,10,3.5,2009
Felben-Wellhausen,4561,23.8,25.9,39.7,7.9,2.8,2009
